Bankleitzahl;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC
20730078;UniCredit Bank - HVB Settlement EAC78;21050;Hamburg;UniCredit Bk Settlemt EAC78;;HYVEDEMME78
20730079;UniCredit Bank - HVB Settlement EAC79;21050;Hamburg;UniCredit Bk Settlemt EAC79;;HYVEDEMME79
20730080;UniCredit Bank - HVB Settlement EAC80;21050;Hamburg;UniCredit Bk Settlemt EAC80;;HYVEDEMME80
20730081;UniCredit Bank - HVB Settlement EAC81;21050;Hamburg;UniCredit Bk Settlemt EAC81;;HYVEDEMME81
20730082;UniCredit Bank - HVB Settlement EAC82;21050;Hamburg;UniCredit Bk Settlemt EAC82;;HYVEDEMME82
20730083;UniCredit Bank - HVB Settlement EAC83;21050;Hamburg;UniCredit Bk Settlemt EAC83;;HYVEDEMME83
20730084;UniCredit Bank - HVB Settlement EAC84;21050;Hamburg;UniCredit Bk Settlemt EAC84;;HYVEDEMME84
20730085;UniCredit Bank - HVB Settlement EAC85;21050;Hamburg;UniCredit Bk Settlemt EAC85;;HYVEDEMME85
20730086;UniCredit Bank - HVB Settlement EAC86;21050;Hamburg;UniCredit Bk Settlemt EAC86;;HYVEDEMME86
20730087;UniCredit Bank - HVB Settlement EAC87;21050;Hamburg;UniCredit Bk Settlemt EAC87;;HYVEDEMME87
20730088;UniCredit Bank - HVB Settlement EAC88;21050;Hamburg;UniCredit Bk Settlemt EAC88;;HYVEDEMME88
20730089;UniCredit Bank - HVB Settlement EAC89;21050;Hamburg;UniCredit Bk Settlemt EAC89;;HYVEDEMME89
20730090;UniCredit Bank - HVB Settlement EAC90;21050;Hamburg;UniCredit Bk Settlemt EAC90;;HYVEDEMME90
20730091;UniCredit Bank - HVB Settlement EAC91;21050;Hamburg;UniCredit Bk Settlemt EAC91;;HYVEDEMME91
20730092;UniCredit Bank - HVB Settlement EAC92;21050;Hamburg;UniCredit Bk Settlemt EAC92;;HYVEDEMME92
20730093;UniCredit Bank - HVB Settlement EAC93;21050;Hamburg;UniCredit Bk Settlemt EAC93;;HYVEDEMME93
20730094;UniCredit Bank - HVB Settlement EAC94;21050;Hamburg;UniCredit Bk Settlemt EAC94;;HYVEDEMME94
20730095;UniCredit Bank - HVB Settlement EAC95;21050;Hamburg;UniCredit Bk Settlemt EAC95;;HYVEDEMME95
20730096;UniCredit Bank - HVB Settlement EAC96;21050;Hamburg;UniCredit Bk Settlemt EAC96;;HYVEDEMME96
20730097;UniCredit Bank - HVB Settlement EAC97;21050;Hamburg;UniCredit Bk Settlemt EAC97;;HYVEDEMME97
20730098;UniCredit Bank - HVB Settlement EAC98;21050;Hamburg;UniCredit Bk Settlemt EAC98;;HYVEDEMME98
20730099;UniCredit Bank - HVB Settlement EAC99;21050;Hamburg;UniCredit Bk Settlemt EAC99;;HYVEDEMME99
20750000;Sparkasse Harburg-Buxtehude;21045;Hamburg;Spk Harburg-Buxtehude;52002;NOLADE21HAM
21000000;Bundesbank eh Kiel;22772;Hamburg;BBk Hamburg eh Kiel;20210;MARKDEF1210
21020600;Sydbank Filiale Kiel;24103;Kiel;Sydbank Fil. Kiel;;SYBKDE22KIE
21040010;Commerzbank;24100;Kiel;Commerzbank Kiel;24210;COBADEFFXXX
21042076;Commerzbank;24331;Eckernförde;Commerzbank Eckernförde;24211;COBADEFFXXX
21050000;Hamburg Commercial Bank, ehemals HSH Nordbank Hamburg;20095;Hamburg;Hamburg Commercial Bank;52150;HSHNDEHHXXX
21050170;Förde Sparkasse;24103;Kiel;Förde Sparkasse;52177;NOLADE21KIE
21051275;Bordesholmer Sparkasse;24582;Bordesholm;Bordesholmer Sparkasse;52147;NOLADE21BOR
21070020;Deutsche Bank;24011;Kiel;Deutsche Bank Kiel;27610;DEUTDEHH210
21070020;Deutsche Bank;24768;Rendsburg;Deutsche Bank Rendsburg;27610;DEUTDEHH214
21070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);24011;Kiel;DB PFK (Deutsche Bank PGK);21610;DEUTDEDB210
21070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);24768;Rendsburg;DB PFK (Deutsche Bank PGK);21610;DEUTDEDB214
21080050;Commerzbank vormals Dresdner Bank;24018;Kiel;Commerzbank Kiel;28210;DRESDEFF210
21089201;Commerzbank vormals Dresdner Bank ITGK;24018;Kiel;Commerzbank ITGK Kiel;;DRESDEFFI07
21090007;Kieler Volksbank;24027;Kiel;Kieler Volksbank;92004;GENODEF1KIL
21090099;Kieler Volksbank (Gf GAA);24027;Kiel;Kieler Volksbank (Gf GAA);;GENODEF1KIL
21090619;apoBank;24017;Kiel;apoBank Kiel;92054;DAAEDED1019
21090900;PSD Bank Kiel;24034;Kiel;PSD Bank Kiel;92064;GENODEF1P11
21092023;Eckernförder Bank Volksbank-Raiffeisenbank;24331;Eckernförde;Eckernförder Bank VRB;92132;GENODEF1EFO
21240040;Commerzbank;24503;Neumünster;Commerzbank Neumünster;24217;COBADEFFXXX
21241540;Commerzbank;24571;Bad Bramstedt;Commerzbank Bad Bramstedt;24218;COBADEFFXXX
21270020;Deutsche Bank;24504;Neumünster;Deutsche Bank Neumünster;27057;DEUTDEHH212
21270024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);24504;Neumünster;DB PFK (Deutsche Bank PGK);21057;DEUTDEDB212
21280002;Commerzbank vormals Dresdner Bank;24504;Neumünster;Commerzbank Neumünster;28212;DRESDEFF212
21290016;VR Bank Neumünster;24517;Neumünster;VR Bank Neumünster;92010;GENODEF1NMS
21340010;Commerzbank;23722;Neustadt in Holstein;Commerzbank Neustadt Holst;24231;COBADEFFXXX
21352240;Sparkasse Holstein;23692;Eutin;Spk Holstein Eutin;52176;NOLADE21HOL
21390008;VR Bank Ostholstein Nord-Plön;23730;Neustadt in Holstein;VR Bk Ostholstein Nord-Plön;92005;GENODEF1NSH
21392218;Volksbank Eutin Raiffeisenbank;23693;Eutin;Volksbank Eutin;92135;GENODEF1EUT
21440045;Commerzbank;24768;Rendsburg;Commerzbank Rendsburg;24219;COBADEFFXXX
21450000;Sparkasse Mittelholstein;24768;Rendsburg;Spk Mittelholstein;52121;NOLADE21RDB
21464671;Raiffeisenbank;24819;Todenbüttel;Raiffbk Todenbüttel;62424;GENODEF1TOB
21480003;Commerzbank vormals Dresdner Bank;24752;Rendsburg;Commerzbank Rendsburg;28214;DRESDEFF214
21510600;Sydbank Filiale Flensburg;24939;Flensburg;Sydbank Fil. Flensburg;29815;SYBKDE22XXX
21520100;Union-Bank Flensburg;24937;Flensburg;Union-Bank Flensburg;99027;UNBNDE21XXX
21540060;Commerzbank;24903;Flensburg;Commerzbank Flensburg;24212;COBADEFFXXX
21565316;Raiffeisenbank;24983;Handewitt;Raiffbk Handewitt;62204;GENODEF1HDW
21570011;Deutsche Bank;24904;Flensburg;Deutsche Bank Flensburg;27617;DEUTDEHH215
21570011;Deutsche Bank;25963;Sylt;Deutsche Bank Westerland;27617;DEUTDEHH216
21570024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);24904;Flensburg;DB PFK (Deutsche Bank PGK);21617;DEUTDEDB215
21570024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);25963;Sylt;DB PFK (Deutsche Bank PGK);21617;DEUTDEDB216
21580000;Commerzbank vormals Dresdner Bank;24904;Flensburg;Commerzbank Flensburg;28215;DRESDEFF215
21740043;Commerzbank;25801;Husum;Commerzbank Husum Nordsee;24214;COBADEFFXXX
21741674;Commerzbank;25899;Niebüll;Commerzbank Niebüll;24215;COBADEFFXXX
21741825;Commerzbank;25961;Sylt;Commerzbank Westerland;24216;COBADEFFXXX
21750000;Nord-Ostsee Sparkasse;24837;Schleswig;Nord-Ostsee Spk Schleswig;52175;NOLADE21NOS
21762550;VR Bank Westküste;25813;Husum;VR Bank Westküste;62132;GENODEF1HUM
21763542;VR Bank Nord;24937;Flensburg;VR Bank Nord;62170;GENODEF1BDS
21770011;Deutsche Bank;25801;Husum;Deutsche Bank Husum Nordsee;27058;DEUTDEHH217
21770024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);25801;Husum;DB PFK (Deutsche Bank PGK);21058;DEUTDEDB217
21791805;Sylter Bank;25980;Sylt;Sylter Bank;92126;GENODEF1SYL
21791906;Föhr-Amrumer Bank;25930;Wyk auf Föhr;Föhr-Amrumer Bank;92129;GENODEF1WYK
21840078;Commerzbank;25740;Heide;Commerzbank Heide Holst;24213;COBADEFFXXX
21841328;Commerzbank;25541;Brunsbüttel;Commerzbank Brunsbüttel;24201;COBADEFFXXX
21890022;Dithmarscher Volks- und Raiffeisenbank;25746;Heide;Dithmarscher VB Heide;92016;GENODEF1DVR
22140028;Commerzbank;25302;Elmshorn;Commerzbank Elmshorn;24203;COBADEFFXXX
22141028;Commerzbank;24559;Kaltenkirchen;Commerzbank Kaltenkirchen;24206;COBADEFFXXX
22141428;Commerzbank;25402;Pinneberg;Commerzbank Pinneberg;24209;COBADEFFXXX
22141628;Commerzbank;25429;Uetersen;Commerzbank Uetersen;24198;COBADEFFXXX
22150000;Sparkasse Elmshorn;25335;Elmshorn;Spk Elmshorn;52238;NOLADE21ELH
22151730;Stadtsparkasse Wedel;22880;Wedel;St Spk Wedel;52283;NOLADE21WED
22163114;Raiffeisenbank Elbmarsch;25492;Heist;Raiffbk Elbmarsch Heist;62602;GENODEF1HTE
22180000;Commerzbank vormals Dresdner Bank;25302;Elmshorn;Commerzbank Elmshorn;28221;DRESDEFF221
22181400;Commerzbank vormals Dresdner Bank;25403;Pinneberg;Commerzbank Pinneberg;28224;DRESDEFF206
22191405;VR Bank in Holstein;25421;Pinneberg;VR Bank in Holstein;92095;GENODEF1PIN
22240073;Commerzbank;25502;Itzehoe;Commerzbank Itzehoe;24205;COBADEFFXXX
22250020;Sparkasse Westholstein;25509;Itzehoe;Spk Westholstein;52231;NOLADE21WHO
22280000;Commerzbank vormals Dresdner Bank;25503;Itzehoe;Commerzbank Itzehoe;28222;DRESDEFF201
22290031;Volksbank Raiffeisenbank Itzehoe Norderstedt Hohenwestedt;25524;Itzehoe;VR Itzehoe Norderstedt;92020;GENODEF1VIT
23000000;Bundesbank eh Lübeck;22772;Hamburg;BBk Hamburg eh Lübeck;20230;MARKDEF1230
23040022;Commerzbank;23547;Lübeck;Commerzbank Lübeck;24230;COBADEFFXXX
23050000;Hamburg Commercial Bank, ehemals HSH Nordbank Hamburg;20095;Hamburg;Hamburg Commercial Bank;;HSHNDEHH230
23050101;Sparkasse zu Lübeck;23547;Lübeck;Sparkasse zu Lübeck;52301;NOLADE21SPL
23051030;Sparkasse Südholstein;24531;Neumünster;Spk Südholstein Neumünster;52307;NOLADE21SHO
23052750;Kreissparkasse Herzogtum Lauenburg;23909;Ratzeburg;Kr Spk Herzogtum Lauenburg;52305;NOLADE21RZB
23061220;Raiffeisenbank Leezen;23816;Leezen;Raiffeisenbank Leezen;62043;GENODEF1LZN
23063129;Raiffeisenbank;21470;Lauenburg;Raiffeisenbank Lauenburg;62611;GENODEF1RLB
23064107;Raiffeisenbank;21510;Büchen;Raiffeisenbank Büchen;62614;GENODEF1BCH
23070700;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);23547;Lübeck;DB PFK (Deutsche Bank PGK);21730;DEUTDEDB237
23070710;Deutsche Bank;23547;Lübeck;Deutsche Bank;27601;DEUTDEHH222
23080040;Commerzbank vormals Dresdner Bank;23501;Lübeck;Commerzbank Lübeck;28230;DRESDEFF230
23089201;Commerzbank vormals Dresdner Bank ITGK;23501;Lübeck;Commerzbank ITGK Lübeck;;DRESDEFFI08
23090142;Volksbank Lübeck;23552;Lübeck;Volksbank Lübeck;92039;GENODEF1HLU
23092620;apoBank;23514;Lübeck;apoBank Lübeck;92144;DAAEDED1020
24040000;Commerzbank;21303;Lüneburg;Commerzbank Lüneburg;24208;COBADEFFXXX
24050110;Sparkasse Lüneburg;21309;Lüneburg;Spk Lüneburg;52401;NOLADE21LBG
24060300;Volksbank Lüneburger Heide;21412;Winsen (Luhe);VB Lüneburger Heide;62617;GENODEF1NBU
24070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);21304;Lüneburg;DB PFK (Deutsche Bank PGK);21681;DEUTDEDB240
24070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);29503;Uelzen;DB PFK (Deutsche Bank PGK);21681;DEUTDEDB242
24070075;Deutsche Bank;21304;Lüneburg;Deutsche Bank Lüneburg;27681;DEUTDE2H240
24070075;Deutsche Bank;29503;Uelzen;Deutsche Bank Uelzen;27681;DEUTDE2H241
24080000;Commerzbank vormals Dresdner Bank;21304;Lüneburg;Commerzbank Lüneburg;28240;DRESDEFF240
24121000;Ritterschaftliches Kreditinstitut Stade;21682;Stade;Ritter Kredit Stade;;GENODED1RKI
24140041;Commerzbank;27451;Cuxhaven;Commerzbank Cuxhaven;24202;COBADEFFXXX
24150001;Stadtsparkasse Cuxhaven;27456;Cuxhaven;St Spk Cuxhaven;52402;BRLADE21CUX
24151005;Sparkasse Stade-Altes Land;21660;Stade;Spk Stade-Altes Land;52403;NOLADE21STS
24151116;Kreissparkasse Stade;21655;Stade;Kreissparkasse Stade;52410;NOLADE21STK
24151235;Sparkasse Rotenburg Osterholz;27393;Zeven;Spk Rotenburg Osterholz;52418;BRLADE21ROB
24161594;Zevener Volksbank;27404;Zeven;Zevener Volksbank;62077;GENODEF1SIT
24162898;Spar- u Darlehnskasse Börde Lamstedt-Hechthausen;21767;Lamstedt;Spar- u Darlehnskasse Börde;62599;GENODEF1LAS
24180000;Commerzbank vormals Dresdner Bank;21758;Otterndorf;Commerzbank Otterndorf;28242;DRESDEFF242
24180001;Commerzbank vormals Dresdner Bank;27452;Cuxhaven;Commerzbank Cuxhaven;28241;DRESDEFF241
24191015;Volksbank Stade-Cuxhaven;21661;Stade;Volksbank Stade-Cuxhaven;92069;GENODEF1SDE
25000000;Bundesbank;30002;Hannover;BBk Hannover;20250;MARKDEF1250
25010030;Postbank Ndl der DB Privat- und Firmenkundenbank;30139;Hannover;Postbank Ndl DB PFK;10030;PBNKDEFFXXX
25010424;Aareal Bank;30014;Hannover;Aareal Bank;26912;AARBDE5W250
25010600;Deutsche Hypothekenbank;30159;Hannover;Deuhypo Hannover;26720;DEHYDE2HXXX
25010900;Calenberger Kreditverein;30159;Hannover;Calenbg Kreditver Hannover;25270;CKVHDE21XXX
25020200;BHF-BANK;30159;Hannover;BHF-BANK Hannover;25157;BHFBDEFF250
25020600;Santander Consumer Bank;30179;Hannover;Santander Consumer Bank;25005;SCFBDE33XXX
25040060;Commerzbank CC;30159;Hannover;Commerzbank CC Hannover;;COBADEFFXXX
25040061;Commerzbank CC;30159;Hannover;Commerzbank CC Hannover;;COBADEFFXXX
25040066;Commerzbank;30012;Hannover;Commerzbank Hannover;24250;COBADEFFXXX
25050000;Norddeutsche Landesbank Girozentrale;30002;Hannover;Nord LB Hannover;52500;NOLADE2HXXX
25050055;ZVA Norddeutsche Landesbank SH;30151;Hannover;ZVA Nord LB SH;;NOLADE21CSH
25050066;ZVA Norddeutsche Landesbank Gf MV;30151;Hannover;ZVA NORD LB Gf MV;;NOLADE21CMV
25050180;Sparkasse Hannover;30001;Hannover;Sparkasse Hannover;52501;SPKHDE2HXXX
25055500;LBS-Norddeutsche Landesbausparkasse;30002;Hannover;LBS-Nord, Hannover;;NOLADE21LBS
25060000;DZ BANK;30002;Hannover;DZ BANK;62003;GENODEFF250
25060000;DZ BANK;26016;Oldenburg;DZ BANK Hannover;62003;GENODEFF280
25060180;M.M. Warburg & Co (vormals Bankhaus Hallbaum);20095;Hamburg;M.M. Warburg (Hallbaum);25223;HALLDE2HXXX
25069262;Raiffeisen-Volksbank Neustadt;31535;Neustadt am Rübenberge;Raiff-VB Neustadt;62323;GENODEF1NST
25069270;Volksbank Aller-Oker;38539;Müden (Aller);Volksbank Aller-Oker;62330;GENODEF1MUA
25070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);30002;Hannover;DB PFK (Deutsche Bank PGK);21670;DEUTDEDBHAN
25070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);31642;Stadthagen;DB PFK (Deutsche Bank PGK);21670;DEUTDEDB243
25070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);30890;Barsinghausen;DB PFK (Deutsche Bank PGK);21670;DEUTDEDB250
25070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);31287;Burgdorf;DB PFK (Deutsche Bank PGK);21670;DEUTDEDB252
25070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);30880;Laatzen;DB PFK (Deutsche Bank PGK);21670;DEUTDEDB931
25070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);30839;Langenhagen;DB PFK (Deutsche Bank PGK);21670;DEUTDEDB932
25070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);31562;Nienburg (Weser);DB PFK (Deutsche Bank PGK);21670;DEUTDEDB256
25070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);37591;Holzminden;DB PFK (Deutsche Bank PGK);21670;DEUTDEDB251
25070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);29624;Munster;DB PFK (Deutsche Bank PGK);21670;DEUTDEDB933
25070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);29601;Soltau;DB PFK (Deutsche Bank PGK);21670;DEUTDEDB258
25070066;Deutsche Bank;31642;Stadthagen;Deutsche Bank Stadthagen;27081;DEUTDE2H265
25070070;Deutsche Bank;30002;Hannover;Deutsche Bank Hannover;27670;DEUTDE2HXXX
25070070;Deutsche Bank;30890;Barsinghausen;Deutsche Bank Barsinghausen;27670;DEUTDE2H250
25070070;Deutsche Bank;30839;Langenhagen;Deutsche Bank Langenhagen;27670;DEUTDE2H283
25070070;Deutsche Bank;30880;Laatzen;Deutsche Bank Laatzen;27670;DEUTDE2H282
25070070;Deutsche Bank;31287;Burgdorf;Deutsche Bank Burgdorf Hann;27670;DEUTDE2H252
25070077;Deutsche Bank;31562;Nienburg (Weser);Deutsche Bank Nienburg;27082;DEUTDE2H256
25070084;Deutsche Bank;29601;Soltau;Deutsche Bank Soltau;27083;DEUTDE2H258
25070084;Deutsche Bank;29624;Munster;Deutsche Bank Munster;27083;DEUTDE2H284
25070086;Deutsche Bank;37591;Holzminden;Deutsche Bank Holzminden;27084;DEUTDE2H251
25080020;Commerzbank vormals Dresdner Bank;30002;Hannover;Commerzbank Hannover;28250;DRESDEFF250
25080085;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 2;20349;Hamburg;Commerzbank ITGK2 Hannov;;DRESDEFFI65
25089220;Commerzbank vormals Dresdner Bank ITGK;30002;Hannover;Commerzbank ITGK Hannover;;DRESDEFFI09
25090300;Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer;30175;Hannover;Bk f Schiffahrt Hannover;92043;GENODEF1BFS
25090500;Sparda-Bank Hannover;30159;Hannover;Sparda-Bank Hannover;92048;GENODEF1S09
25090608;apoBank;30014;Hannover;apoBank Hannover;92052;DAAEDED1008
25090608;apoBank;37006;Göttingen;apoBank Göttingen;92052;DAAEDED1037
25090900;PSD Bank;30016;Hannover;PSD Bank Hannover;92065;GENODEF1P09
25120510;Bank für Sozialwirtschaft;30005;Hannover;Bank für Sozialwirtschaft;25012;BFSWDE33HAN
25151270;Stadtsparkasse Barsinghausen;30890;Barsinghausen;St Spk Barsinghausen;52503;NOLADE21BAH
25151371;Stadtsparkasse Burgdorf;31290;Burgdorf;Stadtsparkasse Burgdorf;52504;NOLADE21BUF
25152375;Kreissparkasse Fallingbostel in Walsrode;29653;Walsrode;Kr Spk Fallingbostel;52505;NOLADE21WAL
25152490;Stadtsparkasse Wunstorf;31501;Wunstorf;St Spk Wunstorf;52506;NOLADE21WST
25190001;Hannoversche Volksbank;30159;Hannover;Hannoversche Volksbank;92001;VOHADE2HXXX
25190088;Hannoversche Volksbank GS nur für GAA;29690;Lindwedel;HanVB - GS nur für GAA;;VOHADE2HXXX
25193331;Volksbank;30982;Pattensen;Volksbank;92152;GENODEF1PAT
25410200;BHW Bausparkasse;31763;Hameln;BHW Bauspk Hameln;;BHWBDE2HXXX
25440047;Commerzbank;31752;Hameln;Commerzbank Hameln;24253;COBADEFFXXX
25450110;Sparkasse Hameln-Weserbergland;31763;Hameln;Spk Hameln-Weserbergland;52508;NOLADE21SWB
25451345;Stadtsparkasse Bad Pyrmont;31797;Bad Pyrmont;St Spk Bad Pyrmont;52510;NOLADE21PMT
25462160;Volksbank Hameln-Stadthagen;31763;Hameln;VB Hameln-Stadthagen;62107;GENODEF1HMP
25462680;Volksbank im Wesertal;31863;Coppenbrügge;VB im Wesertal Coppenbrügge;62143;GENODEF1COP
25470024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);31785;Hameln;DB PFK (Deutsche Bank PGK);21675;DEUTDEDB254
25470024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);31793;Bad Pyrmont;DB PFK (Deutsche Bank PGK);21675;DEUTDEDB255
25470073;Deutsche Bank;31785;Hameln;Deutsche Bank Hameln;27675;DEUTDE2H254
25471024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);31737;Rinteln;DB PFK (Deutsche Bank PGK);21059;DEUTDEDB264
25471073;Deutsche Bank;31737;Rinteln;Deutsche Bank Rinteln;27059;DEUTDE2H264
25480021;Commerzbank vormals Dresdner Bank;31752;Hameln;Commerzbank Hameln;28254;DRESDEFF254
25541426;Commerzbank;31667;Bückeburg;Commerzbank Bückeburg;24251;COBADEFFXXX
25551480;Sparkasse Schaumburg;31726;Rinteln;Sparkasse Schaumburg;52515;NOLADE21SHG
25591413;Volksbank in Schaumburg;31737;Rinteln;Volksbank in Schaumburg;92096;GENODEF1BCK
25621327;Oldenburgische Landesbank AG;49344;Diepholz;Oldb Landesbank Diepholz;25430;OLBODEH2XXX
25641302;Commerzbank;49356;Diepholz;Commerzbank Diepholz;24242;COBADEFFXXX
25650106;Sparkasse Nienburg;31567;Nienburg (Weser);Sparkasse Nienburg;52517;NOLADE21NIB
25651325;Kreissparkasse Grafschaft Diepholz;49343;Diepholz;Kr Spk Diepholz;52518;BRLADE21DHZ
25662540;Volksbank;31593;Steyerberg;Volksbank Steyerberg;62131;GENODEF1STY
25663584;Volksbank Aller-Weser;27318;Hoya;Volksbank Aller-Weser;62172;GENODEF1HOY
25690009;Volksbank Nienburg;31568;Nienburg (Weser);Volksbank Nienburg;92006;GENODEF1NIN
25690010;Volksbank Nienburg (Gf GAA);31582;Nienburg (Weser);Volksbank Nienburg (GAA);;GENODEF1NIN
25691633;Volksbank Sulingen;27223;Sulingen;Volksbank Sulingen;92114;GENODEF1SUL
25691699;Volksbank (Gf GAA);27232;Sulingen;Volksbank Sulingen;;GENODEF1SUL
25740061;Commerzbank;29201;Celle;Commerzbank Celle;24252;COBADEFFXXX
25750001;Sparkasse Celle;29221;Celle;Sparkasse Celle;52521;NOLADE21CEL
25770024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);29221;Celle;DB PFK (Deutsche Bank PGK);21672;DEUTDEDB257
25770069;Deutsche Bank;29221;Celle;Deutsche Bank Celle;27672;DEUTDE2H257
25780022;Commerzbank vormals Dresdner Bank;29204;Celle;Commerzbank Celle;28257;DRESDEFF257
25791635;Volksbank Südheide - Isenhagener Land - Altmark;29221;Celle;VB Südh.-Isenh.L.-Altm;92115;GENODEF1HMN
25840048;Commerzbank;29503;Uelzen;Commerzbank Uelzen;24197;COBADEFFXXX
25841403;Commerzbank;29431;Lüchow (Wendland);Commerzbank Lüchow;24207;COBADEFFXXX
25841708;Commerzbank;29634;Schneverdingen;Commerzbank Schneverdingen;24195;COBADEFFXXX
25850110;Sparkasse Uelzen Lüchow-Dannenberg;29506;Uelzen;Sparkasse Uelzen Lüchow-Dbg;52524;NOLADE21UEL
25851660;Kreissparkasse Soltau;29603;Soltau;Kr Spk Soltau;52558;NOLADE21SOL
25862292;Volksbank Uelzen-Salzwedel;29525;Uelzen;Volksbank Uelzen-Salzwedel;62115;GENODEF1EUB
25863489;VR PLUS Altmark-Wendland;29439;Lüchow (Wendland);VR PLUS Altmark-Wendland;62168;GENODEF1WOT
25940033;Commerzbank;31102;Hildesheim;Commerzbank Hildesheim;24254;COBADEFFXXX
25950130;Sparkasse Hildesheim Goslar Peine;31134;Hildesheim;Sparkasse HGP;52529;NOLADE21HIK
25970024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);31103;Hildesheim;DB PFK (Deutsche Bank PGK);21676;DEUTDEDB259
25970074;Deutsche Bank;31103;Hildesheim;Deutsche Bank Hildesheim;27676;DEUTDE2H259
25971024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);31042;Alfeld (Leine);DB PFK (Deutsche Bank PGK);21671;DEUTDEDB253
25971024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);31021;Gronau (Leine);DB PFK (Deutsche Bank PGK);21671;DEUTDEDB261
25971071;Deutsche Bank;31042;Alfeld (Leine);Deutsche Bank Alfeld Leine;27671;DEUTDE2H253
25971071;Deutsche Bank;31021;Gronau (Leine);Deutsche Bank Gronau Leine;27671;DEUTDE2H261
25980027;Commerzbank vormals Dresdner Bank;31103;Hildesheim;Commerzbank Hildesheim;28259;DRESDEFF259
25990011;Volksbank Hildesheim;31113;Hildesheim;Volksbank Hildesheim;92007;GENODEF1HIH
25991528;Volksbank Hildesheimer Börde;31185;Söhlde;VB Hildesheimer Börde;92104;GENODEF1SLD
26000000;Bundesbank;37016;Göttingen;BBk Göttingen;20260;MARKDEF1260
26040030;Commerzbank;37005;Göttingen;Commerzbank Göttingen;24260;COBADEFFXXX
26050001;Sparkasse Göttingen;37070;Göttingen;Sparkasse Göttingen;52600;NOLADE21GOE
26051260;Sparkasse Duderstadt;37105;Duderstadt;Sparkasse Duderstadt;52602;NOLADE21DUD
26051450;Kreis- und Stadtsparkasse Münden;34333;Hann. Münden;Kr u St Spk Münden;52603;NOLADE21HMU
26061556;Volksbank;37139;Adelebsen;Volksbank Adelebsen;62071;GENODEF1ADE
26062433;VR-Bank in Südniedersachsen;37127;Dransfeld;VR-Bank in Südniedersachsen;62125;GENODEF1DRA
26070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);37073;Göttingen;DB PFK (Deutsche Bank PGK);21674;DEUTDEDB260
26070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);37142;Northeim;DB PFK (Deutsche Bank PGK);21674;DEUTDEDB263
26070072;Deutsche Bank;37073;Göttingen;Deutsche Bank Göttingen;27674;DEUTDE2H260
26070072;Deutsche Bank;37142;Northeim;Deutsche Bank Northeim Han;27674;DEUTDE2H263
26080024;Commerzbank vormals Dresdner Bank;37006;Göttingen;Commerzbank Göttingen;28260;DRESDEFF260
26240039;Commerzbank;37141;Northeim;Commerzbank Northeim Han;24263;COBADEFFXXX
26250001;Kreis-Sparkasse Northeim;37144;Northeim;Kr Spk Northeim;52604;NOLADE21NOM
26251425;Sparkasse Einbeck;37558;Einbeck;Sparkasse Einbeck;52605;NOLADE21EIN
26261693;Volksbank Solling;37177;Hardegsen;Volksbank Solling Hardegsen;62083;GENODEF1HDG
26271424;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);37553;Einbeck;DB PFK (Deutsche Bank PGK);21673;DEUTDEDB262
26271471;Deutsche Bank;37553;Einbeck;Deutsche Bank Einbeck;27673;DEUTDE2H262
26280020;Commerzbank vormals Dresdner Bank;37142;Northeim;Commerzbank Northeim Han;28262;DRESDEFF261
26281420;Commerzbank vormals Dresdner Bank;37553;Einbeck;Commerzbank Einbeck;28264;DRESDEFF262
26340056;Commerzbank;37520;Osterode am Harz;Commerzbank Osterode Harz;24264;COBADEFFXXX
